SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
0.05055631,5.0,,,,,,,,
0.5505563,54.449814,161.02711,21.154024,148.55449,21.140156,103.805336,17.384712,147.97528,20.647495
1.0505563,103.89963,159.02652,13.158258,146.32634,14.535072,103.78243,11.833929,145.95473,13.794034
1.5505563,153.34944,157.4992,12.583337,144.4786,13.296727,103.02652,11.131782,144.25394,12.717003
2.0505564,202.79924,153.26797,12.225852,140.48253,13.132984,99.129135,10.88812,140.215,12.438404
2.5505564,252.24907,153.95528,15.791337,141.58197,15.808967,99.96657,13.59204,141.2079,15.351384
3.0505564,301.69888,141.78777,17.900236,130.08467,17.669981,90.64412,14.731998,129.72514,17.226816
3.5505564,351.14868,132.27565,19.368914,121.110054,18.752907,83.42613,15.656316,120.76308,18.378147
4.050556,400.59848,127.440544,19.599377,117.02872,18.455542,81.0903,16.667013,116.64753,18.322386
4.550556,450.0483,123.0995,12.413097,112.58251,12.19153,77.57943,10.840043,112.29121,11.801361
5.050556,499.49814,132.3392,14.000498,121.509605,13.752071,87.35446,12.287873,121.34597,13.389901
5.550556,548.94794,129.40392,13.089054,118.26095,12.705591,84.58539,11.856701,118.19856,12.369432
6.050556,598.3977,129.47325,11.231995,118.16653,11.496922,83.26286,10.088493,118.05029,10.981387
6.550556,647.84753,130.30421,12.569792,118.09333,12.237197,81.58093,10.224348,118.05317,11.841506
7.050556,697.29736,125.653694,10.677342,114.75976,10.202505,79.57203,8.4516945,114.535255,9.762039
7.550556,746.7472,121.25643,15.137306,109.76177,14.41645,75.473236,13.031535,109.729904,14.136086
8.050556,796.197,130.00362,15.11072,118.75482,14.373699,82.45683,12.279201,118.5256,14.057309
8.550556,845.64685,131.99394,11.298743,119.70136,11.164853,82.473854,8.919928,119.62694,10.630593
9.050556,895.0966,129.15907,9.892044,117.47503,9.738001,81.77252,8.250057,117.381325,9.263401
9.550556,944.54645,138.07448,18.657742,126.754364,17.272696,89.051704,13.310999,126.43889,17.003664
10.050556,993.9963,128.48955,10.591822,117.65143,10.533592,81.78811,8.9828825,117.36629,10.052951
10.550556,1043.446,114.040085,18.853146,105.22095,16.940445,71.55624,13.832245,104.665306,16.824041
11.050556,1092.8959,96.12315,31.357449,88.97645,29.473387,59.77493,24.014364,88.38749,29.332628
11.550556,1142.3457,106.5304,34.807903,98.450966,31.913988,68.64964,26.349514,98.017,31.993023
12.050556,1191.7954,131.82034,14.4924555,119.7308,14.172185,81.80065,12.296911,119.56248,13.780841
12.550556,1241.2452,129.33913,11.245287,117.88119,11.817878,80.6743,9.684267,117.630806,11.180044
13.050556,1290.6952,145.06456,15.609289,132.01756,15.399372,91.88505,11.260077,131.89378,14.856377
13.550556,1340.1449,143.9552,11.043032,129.09259,12.007692,89.91088,9.510107,129.42345,11.281731
14.050556,1389.5947,139.24556,6.427727,125.4334,8.613718,86.067535,6.9056907,125.52765,7.6628604
14.550556,1439.0446,141.23492,6.9841433,127.13873,8.849713,86.781525,6.9946055,127.221794,7.9803834
15.050556,1488.4943,140.00458,6.1983447,126.134445,8.267986,85.97027,6.497758,126.18338,7.304802
15.550556,1537.9442,142.87773,8.797083,127.58907,9.730177,85.31896,6.827902,127.787544,8.925302
16.050556,1587.394,144.44824,10.964403,129.43256,11.302002,87.7932,7.92727,129.61853,10.657131
16.550556,1636.8438,152.69238,13.704135,137.10417,14.063668,93.97793,9.888769,137.30452,13.412373
17.050556,1686.2937,139.53386,10.028418,124.59896,10.684234,84.714745,8.25796,124.89448,10.086164
17.550556,1735.7434,145.49763,11.734287,130.47678,12.694773,89.496925,8.89541,130.71147,11.973764
18.050556,1785.1932,140.49164,8.430286,125.678535,9.47886,86.66368,6.5556703,126.010925,8.745826
18.550556,1834.6431,151.44077,17.635221,136.22171,17.379768,93.30812,12.649986,136.35892,16.886929
19.050556,1884.0929,145.82971,16.382801,131.18492,16.232025,89.951294,11.867603,131.32133,15.734162
19.550556,1933.5426,150.73087,16.766212,134.81549,15.937167,92.59025,10.796997,135.15044,15.549557
20.050556,1982.9926,152.97546,18.686037,137.69928,18.02741,95.24903,12.704612,137.8821,17.60958
20.550556,2032.4423,150.97136,15.749928,135.58385,15.428689,93.65587,10.372453,135.82803,14.912933
21.050556,2081.892,150.22264,17.480299,135.07283,17.240934,93.01019,12.298508,135.25676,16.735353
21.550556,2131.342,144.30643,12.113734,129.83714,12.348862,89.44787,8.113462,129.99721,11.71163
22.050556,2180.7917,138.01636,10.76168,123.875465,11.216607,83.526054,8.345715,123.96859,10.603909
22.550556,2230.2415,143.09773,13.71041,128.71602,13.633326,87.50151,9.853855,128.79788,13.140086
23.050556,2279.6914,153.79152,16.048378,138.41663,16.145344,93.79089,11.2480755,138.46335,15.530936
23.550556,2329.141,144.26599,15.112754,129.39624,15.386808,87.396576,11.034681,129.52518,14.759395
24.050556,2378.5908,136.96133,6.1705165,122.9961,8.551875,83.554665,6.9784603,123.11743,7.5663333
24.550556,2428.0408,138.01465,6.0700173,123.973015,8.45325,84.86665,6.7864423,124.13479,7.4711647
25.050556,2477.4905,136.98882,6.019354,123.0891,8.454394,84.36628,6.9492702,123.2484,7.476525
25.550556,2526.9404,136.13487,6.168639,122.076546,8.580525,82.57981,6.891627,122.213684,7.5826573
26.050556,2576.3904,134.91164,6.2622776,121.055084,8.434517,81.99797,6.8209934,121.18106,7.433785
26.550556,2625.84,132.51956,6.636577,118.39394,8.632504,79.96178,6.6429515,118.62224,7.7202687
27.050556,2675.2898,134.78398,5.625852,120.523674,7.980191,81.67727,6.1011724,120.7507,6.93392
27.550556,2724.7397,131.26172,6.553465,116.92502,8.687511,77.95908,6.9959064,117.15966,7.7265315
28.050556,2774.1895,135.05069,5.3187222,120.60435,7.7019577,81.907684,5.8490663,120.881744,6.6704025
28.550556,2823.6392,135.29991,5.490154,120.84081,7.674235,80.86652,5.922441,121.02867,6.7236576
29.050556,2873.089,136.93669,5.7522297,122.393524,7.9490066,82.30133,6.37131,122.590744,7.007002
29.550556,2922.5388,135.92181,5.9489174,121.4587,8.254828,81.68024,6.387392,121.66155,7.27269
